Name,Typ,Preis,Herkunft,Datum
Phantom Skin,Skins,20,Valorant,January 1, 2022
HabitNow Premium,Self Investment,5.49,Google Playstore,January 1, 2022
DouLingo Premium,Self Investment,59.99,Google Playstore,January 2, 2022
iGutech Steam Hair Straightener,For someone,50.78,Amazon,January 2, 2022
Daily Strength Premium,Self Investment,9.99,Google Playstore,January 2, 2022
2x Chickenburger,Food,3.38,McDonalds,January 2, 2022
HUAWEI WiFi AX3,Technik,35.52,Amazon,January 3, 2022
Bfit 24 Beitrag,Health,34.9,Bfit24,January 3, 2022
Rem (Seethlook Version) - Re:Zero - Banpresto,Figurines,32.9,figuya,January 3, 2022
Trafalgar Law - One Piece DXF - The Grandline Men - Wano Kuni Arc 2,Figurines,32.9,figuya,January 3, 2022
Baku-Versicherung,Versicherung,11.9,Barmenia,January 3, 2022
Hansemerkur  Brillen Versicherung,Versicherung,10,Fielmann,January 3, 2022
Versand,Versand,4.99,figuya,January 3, 2022
Bullet Journal,Stationary,4.99,Penny,January 3, 2022
Einkauf,Food,3.67,Penny,January 3, 2022
Shampoo,Pflege,2.29,Penny,January 3, 2022
Einkauf,Hilfsmittel,1.09,Penny,January 3, 2022
Einkauf,Lebensmittel,0.49,Rewe,January 3, 2022
Tanken,PKW,20.52,Jet,January 4, 2022
Einakuf,Food,14.19,Rewe,January 4, 2022
Einkauf,Haustier,11.24,Rewe,January 4, 2022
Einkauf,Süßes&Salziges,8.1,Rewe,January 4, 2022
Einkauf,Alkohol,6.74,Rewe,January 4, 2022
Einkauf,Lebensmittel,1.19,Rewe,January 4, 2022
Einkauf,Trinken,0.89,Rewe,January 4, 2022
Sleep headband headphones.,Self Investment,18.69,Amazon,January 5, 2
Küche,Abgaben,680,Eltern,January 6, 2022
Weight Blanket,Health,52.75,Amazon,January 6, 2022
DIKI Pillow,Health,38.24,Amazon,January 6, 2022
Celestial Knife,Skins,35,Valorant,January 6, 2022
GOOJODOQ Wireless Sleep Headphones,Technik,23.99,Amazon,January 6, 2022
Einkauf,Haustier,10.16,Kaufland,January 6, 2022
https://www.amazon.de/gp/product/B07QSW16HW/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1,Technik,9.99,Amazon,January 6, 2022
